participant_id,group_id,study_group,trial_id,trial_order,trial_index,episode_id,scenario_id,context_title,context_label,context_text,context_dominant_function,song_id,excerpt_id,participant_song_label,song_title,target_eligible,target_ineligibility_reasons,history_eligible,history_ineligibility_reasons,history_comment_available,observed_max_rating,observed_preferred_set,observed_preferred_mix,is_single_winner,n_preferred_tied,human_rating_A,human_rating_B,human_rating_C,human_rating_D,human_rating_E,observed_rank_A,observed_rank_B,observed_rank_C,observed_rank_D,observed_rank_E
P002,group_01,group_01,P002__trial_05,5,5,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,76,"[""C""]",C,True,1,31,50,76,12,6,3.0,2.0,1.0,4.0,5.0
P002,group_01,group_01,P002__trial_06,6,6,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,74,"[""C""]",C,True,1,10,26,74,51,57,5.0,4.0,1.0,3.0,2.0
P003,group_01,group_01,P003__trial_01,1,1,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,86,"[""E""]",E,True,1,15,68,26,47,86,5.0,2.0,4.0,3.0,1.0
P003,group_01,group_01,P003__trial_02,2,2,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,86,"[""C""]",C,True,1,51,33,86,68,11,3.0,4.0,1.0,2.0,5.0
P003,group_01,group_01,P003__trial_03,3,3,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,86,"[""D""]",D,True,1,12,31,25,86,73,5.0,3.0,4.0,1.0,2.0
P003,group_01,group_01,P003__trial_04,4,4,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,91,"[""D""]",D,True,1,72,34,76,91,24,3.0,4.0,2.0,1.0,5.0
P003,group_01,group_01,P003__trial_05,5,5,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,87,"[""D""]",D,True,1,14,46,61,87,78,5.0,4.0,3.0,1.0,2.0
P003,group_01,group_01,P003__trial_06,6,6,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,86,"[""B""]",B,True,1,16,86,31,41,55,5.0,1.0,4.0,3.0,2.0
P004,group_01,group_01,P004__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,88,"[""A""]",A,True,1,88,9,15,0,60,1.0,4.0,3.0,5.0,2.0
P004,group_01,group_01,P004__trial_02,2,2,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,75,"[""E""]",E,True,1,49,0,0,0,75,2.0,4.0,4.0,4.0,1.0
P004,group_01,group_01,P004__trial_03,3,3,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,82,"[""C""]",C,True,1,64,6,82,47,13,2.0,5.0,1.0,3.0,4.0
P004,group_01,group_01,P004__trial_04,4,4,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,82,"[""D""]",D,True,1,19,0,0,82,44,3.0,4.5,4.5,1.0,2.0
P004,group_01,group_01,P004__trial_05,5,5,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,90,"[""D""]",D,True,1,59,0,15,90,27,2.0,5.0,4.0,1.0,3.0
P004,group_01,group_01,P004__trial_06,6,6,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,92,"[""E""]",E,True,1,4,64,3,35,92,4.0,2.0,5.0,3.0,1.0
P005,group_02,group_02,P005__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,83,"[""A""]",A,True,1,83,52,80,55,62,1.0,5.0,2.0,4.0,3.0
P005,group_02,group_02,P005__trial_02,2,2,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,53,"[""E""]",E,True,1,46,41,52,31,53,3.0,4.0,2.0,5.0,1.0
P005,group_02,group_02,P005__trial_03,3,3,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,83,"[""D""]",D,True,1,32,41,48,83,78,5.0,4.0,3.0,1.0,2.0
P005,group_02,group_02,P005__trial_04,4,4,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,85,"[""E""]",E,True,1,82,76,62,35,85,2.0,3.0,4.0,5.0,1.0
P005,group_02,group_02,P005__trial_05,5,5,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,84,"[""E""]",E,True,1,56,49,42,37,84,2.0,3.0,4.0,5.0,1.0
P005,group_02,group_02,P005__trial_06,6,6,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,83,"[""E""]",E,True,1,36,47,71,59,83,5.0,4.0,2.0,3.0,1.0
P006,group_01,group_01,P006__trial_01,1,1,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,99,"[""A""]",A,True,1,99,51,75,25,40,1.0,3.0,2.0,5.0,4.0
P006,group_01,group_01,P006__trial_02,2,2,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,96,"[""C""]",C,True,1,86,60,96,51,75,2.0,4.0,1.0,5.0,3.0
P006,group_01,group_01,P006__trial_03,3,3,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,100,"[""B""]",B,True,1,39,100,88,32,76,4.0,1.0,2.0,5.0,3.0
P006,group_01,group_01,P006__trial_04,4,4,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,93,"[""A""]",A,True,1,93,48,38,80,62,1.0,4.0,5.0,2.0,3.0
P006,group_01,group_01,P006__trial_05,5,5,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,86,"[""C""]",C,True,1,26,19,86,33,41,4.0,5.0,1.0,3.0,2.0
P006,group_01,group_01,P006__trial_06,6,6,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,60,"[""B""]",B,True,1,33,60,26,16,54,3.0,1.0,4.0,5.0,2.0
P007,group_02,group_02,P007__trial_01,1,1,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,100,"[""C""]",C,True,1,77,0,100,48,10,2.0,5.0,1.0,3.0,4.0
P007,group_02,group_02,P007__trial_02,2,2,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,100,"[""A""]",A,True,1,100,58,0,73,19,1.0,3.0,5.0,2.0,4.0
P007,group_02,group_02,P007__trial_03,3,3,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,100,"[""C""]",C,True,1,81,58,100,2,22,2.0,3.0,1.0,5.0,4.0
P007,group_02,group_02,P007__trial_04,4,4,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,100,"[""E""]",E,True,1,0,53,0,79,100,4.5,3.0,4.5,2.0,1.0
P007,group_02,group_02,P007__trial_05,5,5,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,100,"[""C""]",C,True,1,0,72,100,15,50,5.0,2.0,1.0,4.0,3.0
P007,group_02,group_02,P007__trial_06,6,6,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,100,"[""A""]",A,True,1,100,72,62,80,0,1.0,3.0,4.0,2.0,5.0
P008,group_01,group_01,P008__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,63,"[""D""]",D,True,1,9,27,56,63,18,5.0,3.0,2.0,1.0,4.0
P008,group_01,group_01,P008__trial_02,2,2,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,66,"[""A""]",A,True,1,66,26,35,51,4,1.0,4.0,3.0,2.0,5.0
P008,group_01,group_01,P008__trial_03,3,3,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,71,"[""A""]",A,True,1,71,31,8,48,17,1.0,3.0,5.0,2.0,4.0
P008,group_01,group_01,P008__trial_04,4,4,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,77,"[""D""]",D,True,1,48,16,63,77,25,3.0,5.0,2.0,1.0,4.0
P008,group_01,group_01,P008__trial_05,5,5,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,id_like_to_know,group_01_song_b_id_like_to_know,Song B,I'd Like To Know,True,,True,,True,90,"[""A""]",A,True,1,90,33,45,66,22,1.0,4.0,3.0,2.0,5.0
P008,group_01,group_01,P008__trial_06,6,6,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,93,"[""A""]",A,True,1,93,26,38,49,73,1.0,5.0,4.0,3.0,2.0
P009,group_02,group_02,P009__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,100,"[""A""]",A,True,1,100,0,26,76,52,1.0,5.0,4.0,2.0,3.0
P009,group_02,group_02,P009__trial_02,2,2,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,98,"[""D""]",D,True,1,18,45,72,98,0,4.0,3.0,2.0,1.0,5.0
P009,group_02,group_02,P009__trial_03,3,3,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,88,"[""D""]",D,True,1,27,45,68,88,8,4.0,3.0,2.0,1.0,5.0
P009,group_02,group_02,P009__trial_04,4,4,EDR-1,EDR-1,EDR-1 - Enjoying Free Time,EDR-1,"You have some free time and no immediate responsibilities that require your attention. You are not feeling tired or worried, but you would like to enjoy your time rather than let it pass uneventfully. You decide to listen to music for entertainment, making your free time more enjoyable.",Enjoyment,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,91,"[""A""]",A,True,1,91,70,25,4,47,1.0,2.0,4.0,5.0,3.0
P009,group_02,group_02,P009__trial_05,5,5,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,pouring_room,group_02_song_b_pouring_room,Song B,Pouring Room,True,,True,,True,98,"[""E""]",E,True,1,51,24,96,76,98,4.0,5.0,2.0,3.0,1.0
P009,group_02,group_02,P009__trial_06,6,6,EDR-2,EDR-2,EDR-2 - Unwinding After a Demanding Period,EDR-2,"You have some time for yourself after a demanding period. Although a few everyday concerns are still on your mind, there is nothing that requires your attention right now. You would like to feel calmer and take your mind off these concerns for a while, so you decide to listen to music to help you unwind.",Relaxation-Distraction,in_the_meantime,group_02_song_a_in_the_meantime,Song A,In The Meantime,True,,True,,True,97,"[""B""]",B,True,1,52,97,62,73,89,5.0,1.0,4.0,3.0,2.0
P010,group_01,group_01,P010__trial_01,1,1,FM-1,FM-1,FM-1 - Maintaining Engagement During an Activity,FM-1,"You are engaged in an activity that requires sustained mental or physical effort. As you continue, it becomes more difficult to stay engaged. You want to maintain your focus and motivation so that you can continue making steady progress toward completing the activity. You decide to listen to music while carrying on with the activity.",Focus-Motivation,lead_me,group_01_song_a_lead_me,Song A,Lead Me,True,,True,,True,100,"[""D""]",D,True,1,87,93,77,100,68,3.0,2.0,4.0,1.0,5.0
