trial_id,participant_id,phase3_prediction_example_id,phase6b_prediction_example_id,phase3_present,phase6b_present,aligned
P016__trial_03,P016,real_loto__P016__trial_03,P016__heldout__P016__trial_03,True,True,True
P016__trial_04,P016,real_loto__P016__trial_04,P016__heldout__P016__trial_04,True,True,True
P016__trial_05,P016,real_loto__P016__trial_05,P016__heldout__P016__trial_05,True,True,True
P016__trial_06,P016,real_loto__P016__trial_06,P016__heldout__P016__trial_06,True,True,True
P017__trial_01,P017,real_loto__P017__trial_01,P017__heldout__P017__trial_01,True,True,True
P017__trial_02,P017,real_loto__P017__trial_02,P017__heldout__P017__trial_02,True,True,True
P017__trial_03,P017,real_loto__P017__trial_03,P017__heldout__P017__trial_03,True,True,True
P017__trial_04,P017,real_loto__P017__trial_04,P017__heldout__P017__trial_04,True,True,True
P017__trial_05,P017,real_loto__P017__trial_05,P017__heldout__P017__trial_05,True,True,True
P017__trial_06,P017,real_loto__P017__trial_06,P017__heldout__P017__trial_06,True,True,True
P018__trial_01,P018,real_loto__P018__trial_01,P018__heldout__P018__trial_01,True,True,True
P018__trial_02,P018,real_loto__P018__trial_02,P018__heldout__P018__trial_02,True,True,True
P018__trial_03,P018,real_loto__P018__trial_03,P018__heldout__P018__trial_03,True,True,True
P018__trial_04,P018,real_loto__P018__trial_04,P018__heldout__P018__trial_04,True,True,True
P018__trial_05,P018,real_loto__P018__trial_05,P018__heldout__P018__trial_05,True,True,True
P018__trial_06,P018,real_loto__P018__trial_06,P018__heldout__P018__trial_06,True,True,True
P019__trial_01,P019,real_loto__P019__trial_01,P019__heldout__P019__trial_01,True,True,True
P019__trial_02,P019,real_loto__P019__trial_02,P019__heldout__P019__trial_02,True,True,True
P019__trial_03,P019,real_loto__P019__trial_03,P019__heldout__P019__trial_03,True,True,True
P019__trial_04,P019,real_loto__P019__trial_04,P019__heldout__P019__trial_04,True,True,True
P019__trial_05,P019,real_loto__P019__trial_05,P019__heldout__P019__trial_05,True,True,True
P019__trial_06,P019,real_loto__P019__trial_06,P019__heldout__P019__trial_06,True,True,True
P020__trial_01,P020,real_loto__P020__trial_01,P020__heldout__P020__trial_01,True,True,True
P020__trial_02,P020,real_loto__P020__trial_02,P020__heldout__P020__trial_02,True,True,True
P020__trial_03,P020,real_loto__P020__trial_03,P020__heldout__P020__trial_03,True,True,True
P020__trial_04,P020,real_loto__P020__trial_04,P020__heldout__P020__trial_04,True,True,True
P020__trial_05,P020,real_loto__P020__trial_05,P020__heldout__P020__trial_05,True,True,True
P020__trial_06,P020,real_loto__P020__trial_06,P020__heldout__P020__trial_06,True,True,True
P021__trial_01,P021,real_loto__P021__trial_01,P021__heldout__P021__trial_01,True,True,True
P021__trial_02,P021,real_loto__P021__trial_02,P021__heldout__P021__trial_02,True,True,True
P021__trial_03,P021,real_loto__P021__trial_03,P021__heldout__P021__trial_03,True,True,True
P021__trial_04,P021,real_loto__P021__trial_04,P021__heldout__P021__trial_04,True,True,True
P021__trial_05,P021,real_loto__P021__trial_05,P021__heldout__P021__trial_05,True,True,True
P021__trial_06,P021,real_loto__P021__trial_06,P021__heldout__P021__trial_06,True,True,True
P022__trial_01,P022,real_loto__P022__trial_01,P022__heldout__P022__trial_01,True,True,True
P022__trial_02,P022,real_loto__P022__trial_02,P022__heldout__P022__trial_02,True,True,True
P022__trial_03,P022,real_loto__P022__trial_03,P022__heldout__P022__trial_03,True,True,True
P022__trial_04,P022,real_loto__P022__trial_04,P022__heldout__P022__trial_04,True,True,True
P022__trial_05,P022,real_loto__P022__trial_05,P022__heldout__P022__trial_05,True,True,True
P022__trial_06,P022,real_loto__P022__trial_06,P022__heldout__P022__trial_06,True,True,True
P023__trial_01,P023,real_loto__P023__trial_01,P023__heldout__P023__trial_01,True,True,True
P023__trial_02,P023,real_loto__P023__trial_02,P023__heldout__P023__trial_02,True,True,True
P023__trial_03,P023,real_loto__P023__trial_03,P023__heldout__P023__trial_03,True,True,True
P023__trial_04,P023,real_loto__P023__trial_04,P023__heldout__P023__trial_04,True,True,True
P023__trial_05,P023,real_loto__P023__trial_05,P023__heldout__P023__trial_05,True,True,True
P023__trial_06,P023,real_loto__P023__trial_06,P023__heldout__P023__trial_06,True,True,True
P024__trial_01,P024,real_loto__P024__trial_01,P024__heldout__P024__trial_01,True,True,True
P024__trial_02,P024,real_loto__P024__trial_02,P024__heldout__P024__trial_02,True,True,True
P024__trial_03,P024,real_loto__P024__trial_03,P024__heldout__P024__trial_03,True,True,True
P024__trial_04,P024,real_loto__P024__trial_04,P024__heldout__P024__trial_04,True,True,True
P024__trial_05,P024,real_loto__P024__trial_05,P024__heldout__P024__trial_05,True,True,True
P024__trial_06,P024,real_loto__P024__trial_06,P024__heldout__P024__trial_06,True,True,True
P025__trial_01,P025,real_loto__P025__trial_01,P025__heldout__P025__trial_01,True,True,True
P025__trial_02,P025,real_loto__P025__trial_02,P025__heldout__P025__trial_02,True,True,True
P025__trial_03,P025,real_loto__P025__trial_03,P025__heldout__P025__trial_03,True,True,True
P025__trial_04,P025,real_loto__P025__trial_04,P025__heldout__P025__trial_04,True,True,True
P025__trial_05,P025,real_loto__P025__trial_05,P025__heldout__P025__trial_05,True,True,True
P025__trial_06,P025,real_loto__P025__trial_06,P025__heldout__P025__trial_06,True,True,True
P026__trial_01,P026,real_loto__P026__trial_01,P026__heldout__P026__trial_01,True,True,True
P026__trial_02,P026,real_loto__P026__trial_02,P026__heldout__P026__trial_02,True,True,True
P026__trial_03,P026,real_loto__P026__trial_03,P026__heldout__P026__trial_03,True,True,True
P026__trial_04,P026,real_loto__P026__trial_04,P026__heldout__P026__trial_04,True,True,True
P026__trial_05,P026,real_loto__P026__trial_05,P026__heldout__P026__trial_05,True,True,True
P026__trial_06,P026,real_loto__P026__trial_06,P026__heldout__P026__trial_06,True,True,True
P027__trial_01,P027,real_loto__P027__trial_01,P027__heldout__P027__trial_01,True,True,True
P027__trial_02,P027,real_loto__P027__trial_02,P027__heldout__P027__trial_02,True,True,True
P027__trial_03,P027,real_loto__P027__trial_03,P027__heldout__P027__trial_03,True,True,True
P027__trial_04,P027,real_loto__P027__trial_04,P027__heldout__P027__trial_04,True,True,True
P027__trial_05,P027,real_loto__P027__trial_05,P027__heldout__P027__trial_05,True,True,True
P027__trial_06,P027,real_loto__P027__trial_06,P027__heldout__P027__trial_06,True,True,True
P028__trial_01,P028,real_loto__P028__trial_01,P028__heldout__P028__trial_01,True,True,True
P028__trial_02,P028,real_loto__P028__trial_02,P028__heldout__P028__trial_02,True,True,True
P028__trial_03,P028,real_loto__P028__trial_03,P028__heldout__P028__trial_03,True,True,True
P028__trial_04,P028,real_loto__P028__trial_04,P028__heldout__P028__trial_04,True,True,True
P028__trial_05,P028,real_loto__P028__trial_05,P028__heldout__P028__trial_05,True,True,True
P028__trial_06,P028,real_loto__P028__trial_06,P028__heldout__P028__trial_06,True,True,True
P029__trial_01,P029,real_loto__P029__trial_01,P029__heldout__P029__trial_01,True,True,True
P029__trial_02,P029,real_loto__P029__trial_02,P029__heldout__P029__trial_02,True,True,True
P029__trial_03,P029,real_loto__P029__trial_03,P029__heldout__P029__trial_03,True,True,True
P029__trial_04,P029,real_loto__P029__trial_04,P029__heldout__P029__trial_04,True,True,True
P029__trial_05,P029,real_loto__P029__trial_05,P029__heldout__P029__trial_05,True,True,True
P029__trial_06,P029,real_loto__P029__trial_06,P029__heldout__P029__trial_06,True,True,True
P030__trial_01,P030,real_loto__P030__trial_01,P030__heldout__P030__trial_01,True,True,True
P030__trial_02,P030,real_loto__P030__trial_02,P030__heldout__P030__trial_02,True,True,True
P030__trial_03,P030,real_loto__P030__trial_03,P030__heldout__P030__trial_03,True,True,True
P030__trial_04,P030,real_loto__P030__trial_04,P030__heldout__P030__trial_04,True,True,True
P030__trial_05,P030,real_loto__P030__trial_05,P030__heldout__P030__trial_05,True,True,True
P030__trial_06,P030,real_loto__P030__trial_06,P030__heldout__P030__trial_06,True,True,True
P031__trial_01,P031,real_loto__P031__trial_01,P031__heldout__P031__trial_01,True,True,True
P031__trial_02,P031,real_loto__P031__trial_02,P031__heldout__P031__trial_02,True,True,True
P031__trial_03,P031,real_loto__P031__trial_03,P031__heldout__P031__trial_03,True,True,True
P031__trial_04,P031,real_loto__P031__trial_04,P031__heldout__P031__trial_04,True,True,True
P031__trial_05,P031,real_loto__P031__trial_05,P031__heldout__P031__trial_05,True,True,True
P031__trial_06,P031,real_loto__P031__trial_06,P031__heldout__P031__trial_06,True,True,True
P032__trial_01,P032,real_loto__P032__trial_01,P032__heldout__P032__trial_01,True,True,True
P032__trial_02,P032,real_loto__P032__trial_02,P032__heldout__P032__trial_02,True,True,True
P032__trial_03,P032,real_loto__P032__trial_03,P032__heldout__P032__trial_03,True,True,True
P032__trial_04,P032,real_loto__P032__trial_04,P032__heldout__P032__trial_04,True,True,True
P032__trial_05,P032,real_loto__P032__trial_05,P032__heldout__P032__trial_05,True,True,True
P032__trial_06,P032,real_loto__P032__trial_06,P032__heldout__P032__trial_06,True,True,True
P033__trial_01,P033,real_loto__P033__trial_01,P033__heldout__P033__trial_01,True,True,True
P033__trial_02,P033,real_loto__P033__trial_02,P033__heldout__P033__trial_02,True,True,True
P033__trial_03,P033,real_loto__P033__trial_03,P033__heldout__P033__trial_03,True,True,True
P033__trial_04,P033,real_loto__P033__trial_04,P033__heldout__P033__trial_04,True,True,True
P033__trial_05,P033,real_loto__P033__trial_05,P033__heldout__P033__trial_05,True,True,True
P033__trial_06,P033,real_loto__P033__trial_06,P033__heldout__P033__trial_06,True,True,True
