prediction_example_id,participant_id,trial_id,presentation_label,stimulus_id,group,episode,z_RMS,z_CF,z_SW,z_SI
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,B,id_like_to_know_pxl_s1,group_01,FM-1,-0.5659114167269081,-0.579304038497624,-0.4851205015292653,1.357247686182373
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,C,id_like_to_know_pxl_s2,group_01,FM-1,0.5329997864789321,-1.1874673519330532,-0.7637519766505488,0.5510366380169074
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,D,id_like_to_know_pxl_s7,group_01,FM-1,-0.867056238017743,-0.6188407399054331,-0.3229009373128245,-1.0515106991885117
SYNTHETIC_PHASE6B1_P001__heldout__SYNTHETIC_PHASE6B1_P001__trial_06,SYNTHETIC_PHASE6B1_P001,SYNTHETIC_PHASE6B1_P001__trial_06,E,id_like_to_know_pxl_s3,group_01,FM-1,0.3234844364321996,-1.065060189455143,-1.1651773700507613,-0.0982478955990668
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,A,in_the_meantime_du_h,group_02,EDR-1,0.6887214233465396,0.2719152524959843,-0.8693704120952901,0.8234428342152216
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,B,in_the_meantime_du_i,group_02,EDR-1,-1.8990066727669184,1.9187185345499165,0.5415536857115313,-0.721703057329889
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,C,in_the_meantime_du_k,group_02,EDR-1,-1.1193186569455127,1.7918041562064675,0.9713104079970216,0.4372547184671072
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,D,in_the_meantime_qut_pro,group_02,EDR-1,-0.6756280657690176,-1.4346341192827423,1.8511013279434223,-0.7325346788768815
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_01,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_01,E,in_the_meantime_qut_b,group_02,EDR-1,-0.6698107538710293,-0.1978340618743536,-1.5468197375217057,0.0908009789400507
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,A,pouring_room_mcg_x,group_02,EDR-1,0.4494273963527286,0.780552768870155,0.8086566197405122,-0.4801297779726206
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,B,pouring_room_mcg_pro1,group_02,EDR-1,1.177821012274786,0.1366958746221527,-0.3534041622732912,-0.9473754159948484
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,C,pouring_room_mcg_v,group_02,EDR-1,0.2009523983216312,1.112208706920678,-0.2814967551013548,-0.938440679331238
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,D,pouring_room_mcg_r,group_02,EDR-1,0.2249858589620197,-0.521538265731174,0.8057256670690561,-1.2630720295337683
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_02,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_02,E,pouring_room_mcg_t,group_02,EDR-1,-0.0814371595061495,1.1238301932737935,1.926895983278192,-0.8792578396079359
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,A,in_the_meantime_du_k,group_02,EDR-2,-1.1193186569455127,1.7918041562064675,0.9713104079970216,0.4372547184671072
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,B,in_the_meantime_qut_pro,group_02,EDR-2,-0.6756280657690176,-1.4346341192827423,1.8511013279434223,-0.7325346788768815
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,C,in_the_meantime_qut_b,group_02,EDR-2,-0.6698107538710293,-0.1978340618743536,-1.5468197375217057,0.0908009789400507
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,D,in_the_meantime_du_h,group_02,EDR-2,0.6887214233465396,0.2719152524959843,-0.8693704120952901,0.8234428342152216
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_03,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_03,E,in_the_meantime_du_i,group_02,EDR-2,-1.8990066727669184,1.9187185345499165,0.5415536857115313,-0.721703057329889
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,A,pouring_room_mcg_v,group_02,EDR-2,0.2009523983216312,1.112208706920678,-0.2814967551013548,-0.938440679331238
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,B,pouring_room_mcg_r,group_02,EDR-2,0.2249858589620197,-0.521538265731174,0.8057256670690561,-1.2630720295337683
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,C,pouring_room_mcg_t,group_02,EDR-2,-0.0814371595061495,1.1238301932737935,1.926895983278192,-0.8792578396079359
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,D,pouring_room_mcg_x,group_02,EDR-2,0.4494273963527286,0.780552768870155,0.8086566197405122,-0.4801297779726206
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_04,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_04,E,pouring_room_mcg_pro1,group_02,EDR-2,1.177821012274786,0.1366958746221527,-0.3534041622732912,-0.9473754159948484
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,A,in_the_meantime_qut_b,group_02,FM-1,-0.6698107538710293,-0.1978340618743536,-1.5468197375217057,0.0908009789400507
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,B,in_the_meantime_du_h,group_02,FM-1,0.6887214233465396,0.2719152524959843,-0.8693704120952901,0.8234428342152216
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,C,in_the_meantime_du_i,group_02,FM-1,-1.8990066727669184,1.9187185345499165,0.5415536857115313,-0.721703057329889
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,D,in_the_meantime_du_k,group_02,FM-1,-1.1193186569455127,1.7918041562064675,0.9713104079970216,0.4372547184671072
SYNTHETIC_PHASE6B1_P002__heldout__SYNTHETIC_PHASE6B1_P002__trial_05,SYNTHETIC_PHASE6B1_P002,SYNTHETIC_PHASE6B1_P002__trial_05,E,in_the_meantime_qut_pro,group_02,FM-1,-0.6756280657690176,-1.4346341192827423,1.8511013279434223,-0.7325346788768815
