relative_path,file_type,artist,song,rating_condition,original_mix_name,sha256,bytes,validation_status,notes
audio/Pouring Room/Wide Ratings/McG-pro1_28sec.wav,review_wav,Young Griffo,Pouring Room,Wide Ratings,McG-pro1,6a427883303abfc29f244a09f571330ba1f01954828dae0246d490f6c576ef55,4939244,validated,
audio/Pouring Room/Wide Ratings/McG-U_28sec.wav,review_wav,Young Griffo,Pouring Room,Wide Ratings,McG-U,a2a22e4088b4a2ff713042d6fe06deb4ea0e3035409715fb34cec72a5c2f9b23,4939244,validated,
audio/Pouring Room/Wide Ratings/McG-V_28sec.wav,review_wav,Young Griffo,Pouring Room,Wide Ratings,McG-V,5fe01bc005b45ae411390d5bb7932ffaabf30a7a1453344b2a7f6de733e8c74c,4939244,validated,
audio/Pouring Room/Wide Ratings/RapidSwitch.wav,rapid_switch_wav,Young Griffo,Pouring Room,Wide Ratings,,858c149b6323f6661d1c1f40dfd69959d111edc0fe85344698c0397c4d3650e9,4939244,validated,
audio/Red To Blue/Similar Ratings/McG-B_28sec.wav,review_wav,Broken Crank,Red To Blue,Similar Ratings,McG-B,23abaf24021132282ad063763dd957a2096d026877e4098765f81d8bf2d62ce3,4939244,validated,
audio/Red To Blue/Similar Ratings/McG-F_28sec.wav,review_wav,Broken Crank,Red To Blue,Similar Ratings,McG-F,5e7410429faec756ae92850deb13fb94584c73f9d5ff7d7ad8c351a706b1dabc,4939244,validated,
audio/Red To Blue/Similar Ratings/McG-G_28sec.wav,review_wav,Broken Crank,Red To Blue,Similar Ratings,McG-G,b87d0ffbad2eeb3cd02a0ddbb0cc004d1f6fd6f89414d317b6510f26e4ac60e9,4939244,validated,
audio/Red To Blue/Similar Ratings/RapidSwitch.wav,rapid_switch_wav,Broken Crank,Red To Blue,Similar Ratings,,ce796ee733b134bfa44525947f1ba87199175c37d3f208835c7ab22a42af1f20,4939244,validated,
audio/Red To Blue/Wide Ratings/McG-C_28sec.wav,review_wav,Broken Crank,Red To Blue,Wide Ratings,McG-C,2edc5535005da740aa58b58d05e374538975245f606d2ae342b0670888b76b8c,4939244,validated,
audio/Red To Blue/Wide Ratings/McG-H_28sec.wav,review_wav,Broken Crank,Red To Blue,Wide Ratings,McG-H,e4d5ce445b26b3c55eb35dbaea8a595440436cf9a12b5cfb7393dbe3a63d12a8,4939244,validated,
audio/Red To Blue/Wide Ratings/McG-pro1_28sec.wav,review_wav,Broken Crank,Red To Blue,Wide Ratings,McG-pro1,1bd3eabbafdf08532a7fffb7b4797f766af8b7dde445c1493f6e2a9c9663b9ef,4939244,validated,
audio/Red To Blue/Wide Ratings/RapidSwitch.wav,rapid_switch_wav,Broken Crank,Red To Blue,Wide Ratings,,27983a0372145df61f83292067da7269f34a518595327e0b8b7398bbcbf61bd4,4939244,validated,
package_manifest.csv,table_csv,,,,,,7943,pending_self_hash,manifest lists itself without self-hash
README.md,report_or_instructions_md,,,,,956d4040fb571a155b836238abc0c1b09221d3f25d3ac2e42a54d76cdbaf5e25,1069,validated,
selection_summary.md,report_or_instructions_md,,,,,dd2210b943a63f01c47fb1a4c278c28cef7c8372cb94d71db53cedbe2e6493bd,5530,validated,
supervisor_review_form.csv,table_csv,,,,,65efb58c903bfa470a887e9a5d50f6958b86da0390a4a85931a8cae14e3fa82a,3343,validated,
supervisor_shortlist.csv,table_csv,,,,,611f408c5f92f1b7f776e99ee1d2d483bb305fcc897c5feb31aa10e97f1df667,3570,validated,
supporting_reports/alignment_verification_booklet_validation.md,report_or_instructions_md,,,,,c7b333b6823cdb2a5277b313ddbe8b603223872fe86ce69570ee2906fbd1bc0d,1933,validated,
supporting_reports/alignment_verification_report.md,report_or_instructions_md,,,,,38da6699b307ff8093cfa8735ec3b9290cd44fd59142ee4bed612d0da281f716,2564,validated,
supporting_reports/rating_stratification_report.md,report_or_instructions_md,,,,,83e4859ef49d36f30f266e815ce76770e64c9b012ec5046ae4da55706dfc6bb1,2114,validated,
tables/alignment_summary.csv,table_csv,,,,,f16513492e513f8793b6397e022f462adb392bd8a172016fa74b4399c05fc94a,1479,validated,
tables/mix_level_summary.csv,table_csv,,,,,1325703e1e549d0af70e8fea41bd03863a6115e9b22deebec22ccdfd73de1079,7956,validated,
tables/pairwise_alignment_verification.csv,table_csv,,,,,2bd355defd15201c6618b1a9ec8efeaa79e33ed16689267b11e24a332c791bd4,6162,validated,
tables/triplet_summary.csv,table_csv,,,,,6f5a560b0a5a9afb50c5e09b3015136f5f7488a40ccceecec0dc27442f6033e7,3902,validated,
