episode,song_id,mix_id,stimulus_id,true_expected_mean,posterior_mean,hdi_3%,hdi_97%,absolute_error,covered_by_94pct_hdi
Distraction,Song_3,Mix_1,Song_3_Mix_1,72.06375,70.34675113663316,65.22370525885141,75.35785477716476,1.7169988633668396,True
Distraction,Song_3,Mix_2,Song_3_Mix_2,73.61255,73.65757514846625,68.5371340561085,78.86360409565135,0.04502514846625161,True
Distraction,Song_3,Mix_3,Song_3_Mix_3,69.15225000000001,70.37228326410568,65.29407142858871,75.65935276205941,1.2200332641056661,True
Distraction,Song_4,Mix_1,Song_4_Mix_1,63.21405,63.07263541794769,58.02414145025729,67.94287904776839,0.14141458205231316,True
Distraction,Song_4,Mix_2,Song_4_Mix_2,64.7628,62.24135838752218,57.22896110748422,67.26924549252756,2.5214416124778154,True
Distraction,Song_4,Mix_3,Song_4_Mix_3,60.302800000000005,59.69535151943328,54.99322629273734,64.98121262653432,0.607448480566724,True
Enjoyment,Song_1,Mix_1,Song_1_Mix_1,63.875800000000005,62.109685347864115,57.17707962382527,67.4551524130646,1.7661146521358901,True
Enjoyment,Song_1,Mix_2,Song_1_Mix_2,69.06320000000001,70.08827552265272,65.35226390638614,75.35426792428501,1.0250755226527133,True
Enjoyment,Song_1,Mix_3,Song_1_Mix_3,67.27315,69.08082839931379,64.06017777843023,74.0832432772728,1.8076783993137866,True
Enjoyment,Song_2,Mix_1,Song_2_Mix_1,64.5955,64.76132775340737,60.176487515821805,69.97994490655618,0.16582775340737044,True
Enjoyment,Song_2,Mix_2,Song_2_Mix_2,69.7825,71.08640512370525,66.25137686596676,76.07266558655354,1.303905123705249,True
Enjoyment,Song_2,Mix_3,Song_2_Mix_3,67.99300000000001,65.58555746890433,60.01301169784257,70.3589702286242,2.4074425310956826,True
Enjoyment,Song_3,Mix_1,Song_3_Mix_1,75.06375,75.68504678871736,70.52662061370197,80.42321805819552,0.621296788717359,True
Enjoyment,Song_3,Mix_2,Song_3_Mix_2,78.61255,75.64894485195592,70.62359203685213,80.7544095592828,2.9636051480440813,True
Enjoyment,Song_3,Mix_3,Song_3_Mix_3,78.15225000000001,75.91816706710655,70.96729228410697,80.80295341195448,2.2340829328934575,True
Enjoyment,Song_4,Mix_1,Song_4_Mix_1,66.21405,60.33590528344641,55.296839587794295,65.35644339715785,5.878144716553592,False
Enjoyment,Song_4,Mix_2,Song_4_Mix_2,69.7628,67.66934671400676,62.85461504224943,72.87969442847366,2.0934532859932347,True
Enjoyment,Song_4,Mix_3,Song_4_Mix_3,69.3028,66.38800551562014,61.312190877518816,71.60533212438766,2.9147944843798683,True
Focus,Song_1,Mix_1,Song_1_Mix_1,64.8758,65.16200897254274,60.10255117650921,69.95498891928455,0.28620897254273814,True
Focus,Song_1,Mix_2,Song_1_Mix_2,68.06320000000001,65.44122061669248,60.249440560041215,70.47476793070523,2.621979383307533,True
Focus,Song_1,Mix_3,Song_1_Mix_3,60.27315,54.831063349027836,49.88707911906728,59.87375736397252,5.442086650972165,False
Focus,Song_2,Mix_1,Song_2_Mix_1,65.5955,65.95382320844848,60.64615486860747,70.83085565571008,0.358323208448482,True
Focus,Song_2,Mix_2,Song_2_Mix_2,68.7825,70.07534840614447,64.62456697611489,74.87658549729409,1.292848406144472,True
Focus,Song_2,Mix_3,Song_2_Mix_3,60.992999999999995,60.840709712603775,56.09524931726085,66.03590901396316,0.15229028739621953,True
Focus,Song_3,Mix_1,Song_3_Mix_1,76.06375,79.45856029189501,74.56129586531796,84.7040384980706,3.3948102918950127,True
Focus,Song_3,Mix_2,Song_3_Mix_2,77.61255,77.77700579248622,72.5214716582983,82.46443206040203,0.16445579248622266,True
Focus,Song_3,Mix_3,Song_3_Mix_3,71.15225000000001,75.17722268785033,70.08187630049588,80.13979701887656,4.0249726878503225,True
Focus,Song_4,Mix_1,Song_4_Mix_1,67.21405,69.12514845025427,64.19136631881258,74.0341158366057,1.911098450254272,True
Focus,Song_4,Mix_2,Song_4_Mix_2,68.7628,69.78884588669236,64.64068095038886,74.74295673456712,1.0260458866923585,True
Focus,Song_4,Mix_3,Song_4_Mix_3,62.302800000000005,62.2077446768332,57.19082597416181,67.54137669130719,0.09505532316680387,True
Motivation,Song_1,Mix_1,Song_1_Mix_1,59.875800000000005,62.329499310792144,56.82426897702603,67.38132890828525,2.453699310792139,True
Motivation,Song_1,Mix_2,Song_1_Mix_2,65.06320000000001,66.14767544097566,61.08711510841701,71.21537963695783,1.0844754409756518,True
Motivation,Song_1,Mix_3,Song_1_Mix_3,70.27315,70.2770028959155,65.36784573784774,75.37420612927109,0.0038528959155001985,True
Motivation,Song_2,Mix_1,Song_2_Mix_1,60.5955,61.518770499431454,56.55044669054447,66.4012034077274,0.9232704994314531,True
Motivation,Song_2,Mix_2,Song_2_Mix_2,65.7825,65.35539368016848,60.46674780846452,70.30770375388336,0.42710631983152325,True
Motivation,Song_2,Mix_3,Song_2_Mix_3,70.99300000000001,69.69701637952603,64.20142045662575,74.43668530095404,1.2959836204739759,True
Motivation,Song_3,Mix_1,Song_3_Mix_1,71.06375,66.46232198476926,61.49900157807667,71.5707665052711,4.601428015230738,True
Motivation,Song_3,Mix_2,Song_3_Mix_2,74.61255,72.81740129569626,67.71244992967794,77.71774574769225,1.7951487043037417,True
Motivation,Song_3,Mix_3,Song_3_Mix_3,81.15225000000001,81.36061729798706,76.34501992719439,86.44786893799704,0.20836729798705278,True
Motivation,Song_4,Mix_1,Song_4_Mix_1,62.21405,61.989688443929424,57.041037030990644,67.11621019005094,0.22436155607057628,True
Motivation,Song_4,Mix_2,Song_4_Mix_2,65.7628,65.14932827345976,60.28018480751413,70.45284692586205,0.6134717265402401,True
Motivation,Song_4,Mix_3,Song_4_Mix_3,72.3028,69.76617124767562,64.71659698040624,74.83141108652389,2.53662875232439,True
