source_row,participant_id,source_study_id,group,assigned_songs,n_episodes_completed,n_song_episode_trials_completed,n_ratings,n_comments,missing_ratings,missing_comments,malformed_ratings,duplicated_trial_rating_combinations,unexpected_songs,unexpected_mixes,unexpected_contexts,duplicate_classification,duplicate_evidence,complete_submission,include_recommended,exclusion_reason,requires_manual_review,recommended_action
14,P020,a8c1b8a2-4d90-4d02-ae5c-ca62c59baee3,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
15,P019,2b70dac9-13a2-40ed-a8e6-36d1db564427,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
16,P018,ff39c00d-a39e-42cf-82dc-aa2d53634c00,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
17,P017,85ea48f4-419e-432f-8152-27f32b0660cd,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
18,P016,924c5d19-be5e-4ac5-b94c-018e391ff43b,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
19,P015,0597b66c-700b-42cb-8703-947fc40bedd1,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
20,P014,846bdf44-8cc9-4160-b03f-b98fa1ccd124,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
21,P013,1a2336e5-c74e-4367-b901-13a7d89ae43e,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
22,P012,70c4cd6d-33c4-4338-b661-762d054cc542,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
23,P011,b5dced73-1531-4648-9cd4-ed953a7e944a,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
24,P010,f9101e11-1a06-4ebf-be31-540c4cf0facf,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
25,P009,0d7e3d95-a72f-455b-9d6a-b8a843ca337b,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
26,P008,1e209e9d-cc8c-4711-916f-3901a507952b,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
27,P007,a1704340-8fbd-4118-9fde-eb566796a4e3,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
28,P006,fb2139bd-6644-4981-b8ce-4ef33de2229f,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
29,P005,51917a65-05a6-4bc0-8a87-f868d56f6f0a,group_02,in_the_meantime|pouring_room,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
30,P004,e139e254-fd8b-4fed-a1d1-e9bd67a879d1,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
31,P003,a4c74f3e-3eda-40fd-baeb-a92b59bde6db,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
32,P002,751ef514-bd55-43b8-943a-033b00d1c4a4,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
33,P001,a689ecac-cafb-4e64-8c0b-71d91a9ddaec,group_01,lead_me|id_like_to_know,3,6,30,30,0,0,0,0,,,,no duplicate concern,,True,True,,False,retain
