synthetic_label,comparison_id,comparison_type,metric,expected_participant_count,aligned_participant_count,expected_target_count,aligned_target_count,valid_numeric_pairs,coverage_a,coverage_b,comparison_status
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__07cb2764a842,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__6533bd51c4f3,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__c470cd15ff9b,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__f52893bc540b,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__de6a3f06d7d3,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__7c0cb6bddcbc,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__52019b57d161,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__e18b9234ac5b,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__7329e3f4e055,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__34cac73bb788,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__7b412c147354,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__e73f5b98bfa0,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__d185c139f8e4,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__92b75a611029,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__a6f7f8076996,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__1976b917de42,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__dbb6c3a89f2c,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__71b3a3e906e7,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__744338e391c7,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__a0c9e86763c5,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__c69e3113841d,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__3cfc75ac89b5,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__44adae10a904,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__175edc843f9e,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__f99652c69d7c,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__b33e296bbab8,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__87f904a26b28,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__01253a9cc0cb,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__bc1a62f90a86,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__5ccc83e3865e,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__0a70724337d0,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__1ad55b1552dc,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__e627396b2fd3,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__169c80bb1c4b,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__5b8b1ae35c63,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__abc530018744,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__39680f1a8c67,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__7fe2368ef4b3,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__b91f91ca01e0,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__48bbee6cd1a9,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__331167c149ea,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__353f854283d3,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__cc368d7aff38,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__strict_top1_accuracy__c007551e10ed,llm_vs_baseline,strict_top1_accuracy,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__mae__708a12689138,llm_vs_baseline,mae,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__rmse__3813e098e475,llm_vs_baseline,rmse,1,1,1,1,1,1,1,insufficient_aligned_targets
SYNTHETIC / MOCK - NOT SCIENTIFIC RESULTS,llm_vs_baseline__spearman__ed2d9f0e2fe7,llm_vs_baseline,spearman,1,1,1,1,1,1,1,insufficient_aligned_targets
