participant_id,group,song_id,episode,highest_rating,highest_rated_mix,is_tie
P019,Group_1,Song_2,Motivation,77.9,Mix_2,False
P019,Group_1,Song_2,Relaxation,66.3,Mix_3,False
P020,Group_1,Song_1,Distraction,59.4,Mix_3,False
P020,Group_1,Song_1,Enjoyment,90.5,Mix_2,False
P020,Group_1,Song_1,Focus,83.9,Mix_2,False
P020,Group_1,Song_1,Motivation,64.0,Mix_2,False
P020,Group_1,Song_1,Relaxation,69.8,Mix_2,False
P020,Group_1,Song_2,Distraction,71.6,Mix_2,False
P020,Group_1,Song_2,Enjoyment,68.8,Mix_3,False
P020,Group_1,Song_2,Focus,72.1,Mix_2,False
P020,Group_1,Song_2,Motivation,72.7,Mix_2,False
P020,Group_1,Song_2,Relaxation,75.3,Mix_2,False
P021,Group_2,Song_3,Distraction,88.9,Mix_2,False
P021,Group_2,Song_3,Enjoyment,85.3,Mix_2,False
P021,Group_2,Song_3,Focus,74.9,Mix_3,False
P021,Group_2,Song_3,Motivation,83.2,Mix_3,False
P021,Group_2,Song_3,Relaxation,83.5,Mix_2,False
P021,Group_2,Song_4,Distraction,58.8,Mix_2,False
P021,Group_2,Song_4,Enjoyment,73.7,Mix_2,False
P021,Group_2,Song_4,Focus,75.3,Mix_2,False
P021,Group_2,Song_4,Motivation,55.3,Mix_1,False
P021,Group_2,Song_4,Relaxation,70.4,Mix_1,False
P022,Group_2,Song_3,Distraction,66.5,Mix_3,False
P022,Group_2,Song_3,Enjoyment,78.0,Mix_1,False
P022,Group_2,Song_3,Focus,74.5,Mix_2,False
P022,Group_2,Song_3,Motivation,70.1,Mix_2,False
P022,Group_2,Song_3,Relaxation,74.6,Mix_2,False
P022,Group_2,Song_4,Distraction,82.0,Mix_1,False
P022,Group_2,Song_4,Enjoyment,66.7,Mix_1,False
P022,Group_2,Song_4,Focus,74.2,Mix_1,False
P022,Group_2,Song_4,Motivation,69.4,Mix_2,False
P022,Group_2,Song_4,Relaxation,62.2,Mix_1,False
P023,Group_2,Song_3,Distraction,89.2,Mix_1,False
P023,Group_2,Song_3,Enjoyment,99.7,Mix_2,False
P023,Group_2,Song_3,Focus,87.4,Mix_3,False
P023,Group_2,Song_3,Motivation,88.7,Mix_2,False
P023,Group_2,Song_3,Relaxation,80.8,Mix_3,False
P023,Group_2,Song_4,Distraction,87.2,Mix_2,False
P023,Group_2,Song_4,Enjoyment,89.1,Mix_2,False
P023,Group_2,Song_4,Focus,79.4,Mix_3,False
P023,Group_2,Song_4,Motivation,85.7,Mix_2,False
P023,Group_2,Song_4,Relaxation,80.8,Mix_3,False
P024,Group_2,Song_3,Distraction,73.4,Mix_1,False
P024,Group_2,Song_3,Enjoyment,81.2,Mix_3,False
P024,Group_2,Song_3,Focus,86.0,Mix_3,False
P024,Group_2,Song_3,Motivation,72.7,Mix_2,False
P024,Group_2,Song_3,Relaxation,72.7,Mix_2,False
P024,Group_2,Song_4,Distraction,65.6,Mix_2,False
P024,Group_2,Song_4,Enjoyment,65.1,Mix_2,False
P024,Group_2,Song_4,Focus,67.5,Mix_3,False
P024,Group_2,Song_4,Motivation,75.3,Mix_2,False
P024,Group_2,Song_4,Relaxation,70.8,Mix_1,False
P025,Group_2,Song_3,Distraction,53.5,Mix_2,False
P025,Group_2,Song_3,Enjoyment,72.0,Mix_3,False
P025,Group_2,Song_3,Focus,91.7,Mix_1,False
P025,Group_2,Song_3,Motivation,76.2,Mix_3,False
P025,Group_2,Song_3,Relaxation,71.5,Mix_2,False
P025,Group_2,Song_4,Distraction,59.7,Mix_3,False
P025,Group_2,Song_4,Enjoyment,71.1,Mix_3,False
P025,Group_2,Song_4,Focus,66.2,Mix_1,False
P025,Group_2,Song_4,Motivation,77.5,Mix_3,False
P025,Group_2,Song_4,Relaxation,60.0,Mix_1,False
P026,Group_2,Song_3,Distraction,62.1,Mix_1,False
P026,Group_2,Song_3,Enjoyment,70.4,Mix_2,False
P026,Group_2,Song_3,Focus,91.0,Mix_1,False
P026,Group_2,Song_3,Motivation,76.0,Mix_3,False
P026,Group_2,Song_3,Relaxation,88.1,Mix_1,False
P026,Group_2,Song_4,Distraction,74.3,Mix_2,False
P026,Group_2,Song_4,Enjoyment,74.7,Mix_2,False
P026,Group_2,Song_4,Focus,71.7,Mix_2,False
P026,Group_2,Song_4,Motivation,64.4,Mix_2,False
P026,Group_2,Song_4,Relaxation,49.2,Mix_1,False
P027,Group_2,Song_3,Distraction,83.7,Mix_3,False
P027,Group_2,Song_3,Enjoyment,81.3,Mix_1,False
P027,Group_2,Song_3,Focus,99.7,Mix_1,False
P027,Group_2,Song_3,Motivation,83.3,Mix_3,False
P027,Group_2,Song_3,Relaxation,91.2,Mix_1,False
P027,Group_2,Song_4,Distraction,74.1,Mix_1,False
P027,Group_2,Song_4,Enjoyment,78.7,Mix_2,False
P027,Group_2,Song_4,Focus,90.2,Mix_1,False
P027,Group_2,Song_4,Motivation,69.0,Mix_2,False
P027,Group_2,Song_4,Relaxation,84.5,Mix_2,False
P028,Group_2,Song_3,Distraction,82.2,Mix_1,False
P028,Group_2,Song_3,Enjoyment,100.0,Mix_2,False
P028,Group_2,Song_3,Focus,77.6,Mix_2,False
P028,Group_2,Song_3,Motivation,82.8,Mix_3,False
P028,Group_2,Song_3,Relaxation,88.5,Mix_3,False
P028,Group_2,Song_4,Distraction,63.9,Mix_1,False
P028,Group_2,Song_4,Enjoyment,66.3,Mix_3,False
P028,Group_2,Song_4,Focus,77.4,Mix_2,False
P028,Group_2,Song_4,Motivation,83.3,Mix_3,False
P028,Group_2,Song_4,Relaxation,70.7,Mix_1,False
P029,Group_2,Song_3,Distraction,86.8,Mix_2,False
P029,Group_2,Song_3,Enjoyment,93.2,Mix_3,False
P029,Group_2,Song_3,Focus,98.8,Mix_1,False
P029,Group_2,Song_3,Motivation,100.0,Mix_3,False
P029,Group_2,Song_3,Relaxation,78.3,Mix_3,False
P029,Group_2,Song_4,Distraction,76.9,Mix_3,False
P029,Group_2,Song_4,Enjoyment,77.2,Mix_1,False
P029,Group_2,Song_4,Focus,90.4,Mix_1,False
P029,Group_2,Song_4,Motivation,78.4,Mix_3,False
P029,Group_2,Song_4,Relaxation,74.2,Mix_2,False
P030,Group_2,Song_3,Distraction,86.2,Mix_2,False
P030,Group_2,Song_3,Enjoyment,86.7,Mix_2,False
P030,Group_2,Song_3,Focus,83.3,Mix_2,False
P030,Group_2,Song_3,Motivation,91.2,Mix_3,False
P030,Group_2,Song_3,Relaxation,83.0,Mix_2,False
P030,Group_2,Song_4,Distraction,64.3,Mix_1,False
P030,Group_2,Song_4,Enjoyment,81.6,Mix_3,False
P030,Group_2,Song_4,Focus,82.0,Mix_1,False
P030,Group_2,Song_4,Motivation,81.9,Mix_3,False
P030,Group_2,Song_4,Relaxation,66.1,Mix_1,False
P031,Group_2,Song_3,Distraction,92.7,Mix_3,False
P031,Group_2,Song_3,Enjoyment,100.0,Mix_1|Mix_3,True
P031,Group_2,Song_3,Focus,100.0,Mix_1,False
P031,Group_2,Song_3,Motivation,100.0,Mix_3,False
P031,Group_2,Song_3,Relaxation,95.3,Mix_3,False
P031,Group_2,Song_4,Distraction,84.0,Mix_1,False
P031,Group_2,Song_4,Enjoyment,87.5,Mix_3,False
P031,Group_2,Song_4,Focus,92.2,Mix_1,False
P031,Group_2,Song_4,Motivation,94.5,Mix_3,False
P031,Group_2,Song_4,Relaxation,87.6,Mix_3,False
P032,Group_2,Song_3,Distraction,68.8,Mix_2,False
P032,Group_2,Song_3,Enjoyment,83.4,Mix_1,False
P032,Group_2,Song_3,Focus,79.1,Mix_3,False
P032,Group_2,Song_3,Motivation,69.4,Mix_2,False
P032,Group_2,Song_3,Relaxation,92.2,Mix_1,False
P032,Group_2,Song_4,Distraction,62.3,Mix_3,False
P032,Group_2,Song_4,Enjoyment,59.8,Mix_3,False
P032,Group_2,Song_4,Focus,69.6,Mix_3,False
P032,Group_2,Song_4,Motivation,67.2,Mix_3,False
P032,Group_2,Song_4,Relaxation,56.8,Mix_2,False
P033,Group_2,Song_3,Distraction,73.9,Mix_3,False
P033,Group_2,Song_3,Enjoyment,74.5,Mix_2,False
P033,Group_2,Song_3,Focus,78.9,Mix_1,False
P033,Group_2,Song_3,Motivation,96.2,Mix_3,False
P033,Group_2,Song_3,Relaxation,80.4,Mix_1,False
P033,Group_2,Song_4,Distraction,65.0,Mix_2,False
P033,Group_2,Song_4,Enjoyment,70.7,Mix_2,False
P033,Group_2,Song_4,Focus,77.2,Mix_3,False
P033,Group_2,Song_4,Motivation,73.7,Mix_3,False
P033,Group_2,Song_4,Relaxation,69.3,Mix_2,False
P034,Group_2,Song_3,Distraction,79.3,Mix_1,False
P034,Group_2,Song_3,Enjoyment,97.6,Mix_1,False
P034,Group_2,Song_3,Focus,86.2,Mix_2,False
P034,Group_2,Song_3,Motivation,81.8,Mix_2,False
P034,Group_2,Song_3,Relaxation,91.3,Mix_1,False
P034,Group_2,Song_4,Distraction,54.4,Mix_2,False
P034,Group_2,Song_4,Enjoyment,59.0,Mix_2,False
P034,Group_2,Song_4,Focus,79.0,Mix_1,False
P034,Group_2,Song_4,Motivation,59.3,Mix_1,False
P034,Group_2,Song_4,Relaxation,65.6,Mix_2,False
P035,Group_2,Song_3,Distraction,79.6,Mix_2,False
P035,Group_2,Song_3,Enjoyment,71.3,Mix_2,False
P035,Group_2,Song_3,Focus,82.8,Mix_3,False
P035,Group_2,Song_3,Motivation,87.0,Mix_3,False
P035,Group_2,Song_3,Relaxation,81.8,Mix_2,False
P035,Group_2,Song_4,Distraction,69.0,Mix_2,False
P035,Group_2,Song_4,Enjoyment,79.6,Mix_2,False
P035,Group_2,Song_4,Focus,74.0,Mix_2,False
P035,Group_2,Song_4,Motivation,83.8,Mix_2,False
P035,Group_2,Song_4,Relaxation,80.0,Mix_2,False
P036,Group_2,Song_3,Distraction,80.7,Mix_2,False
P036,Group_2,Song_3,Enjoyment,100.0,Mix_2,False
P036,Group_2,Song_3,Focus,89.6,Mix_1,False
P036,Group_2,Song_3,Motivation,90.6,Mix_3,False
P036,Group_2,Song_3,Relaxation,80.4,Mix_3,False
P036,Group_2,Song_4,Distraction,73.7,Mix_2,False
P036,Group_2,Song_4,Enjoyment,77.1,Mix_3,False
P036,Group_2,Song_4,Focus,81.0,Mix_2,False
P036,Group_2,Song_4,Motivation,82.6,Mix_2,False
P036,Group_2,Song_4,Relaxation,83.6,Mix_1,False
P037,Group_2,Song_3,Distraction,78.2,Mix_1,False
P037,Group_2,Song_3,Enjoyment,97.3,Mix_3,False
P037,Group_2,Song_3,Focus,87.8,Mix_2,False
P037,Group_2,Song_3,Motivation,78.9,Mix_3,False
P037,Group_2,Song_3,Relaxation,85.6,Mix_2,False
P037,Group_2,Song_4,Distraction,74.8,Mix_1,False
P037,Group_2,Song_4,Enjoyment,66.7,Mix_2,False
P037,Group_2,Song_4,Focus,65.8,Mix_3,False
P037,Group_2,Song_4,Motivation,72.7,Mix_1,False
P037,Group_2,Song_4,Relaxation,69.3,Mix_2,False
P038,Group_2,Song_3,Distraction,81.1,Mix_3,False
P038,Group_2,Song_3,Enjoyment,65.4,Mix_1,False
P038,Group_2,Song_3,Focus,78.8,Mix_3,False
P038,Group_2,Song_3,Motivation,70.2,Mix_3,False
P038,Group_2,Song_3,Relaxation,59.7,Mix_1,False
P038,Group_2,Song_4,Distraction,57.1,Mix_1,False
P038,Group_2,Song_4,Enjoyment,69.3,Mix_3,False
P038,Group_2,Song_4,Focus,56.0,Mix_2,False
P038,Group_2,Song_4,Motivation,63.2,Mix_3,False
P038,Group_2,Song_4,Relaxation,61.4,Mix_1,False
P039,Group_2,Song_3,Distraction,70.4,Mix_2,False
P039,Group_2,Song_3,Enjoyment,77.4,Mix_3,False
P039,Group_2,Song_3,Focus,73.4,Mix_2,False
P039,Group_2,Song_3,Motivation,69.0,Mix_2,False
P039,Group_2,Song_3,Relaxation,76.8,Mix_1,False
P039,Group_2,Song_4,Distraction,54.4,Mix_2,False
P039,Group_2,Song_4,Enjoyment,68.7,Mix_2,False
P039,Group_2,Song_4,Focus,94.3,Mix_2,False
P039,Group_2,Song_4,Motivation,66.1,Mix_3,False
P039,Group_2,Song_4,Relaxation,75.1,Mix_1,False
P040,Group_2,Song_3,Distraction,82.0,Mix_3,False
P040,Group_2,Song_3,Enjoyment,84.4,Mix_1,False
P040,Group_2,Song_3,Focus,83.3,Mix_2,False
P040,Group_2,Song_3,Motivation,80.8,Mix_3,False
P040,Group_2,Song_3,Relaxation,99.9,Mix_1,False
P040,Group_2,Song_4,Distraction,71.3,Mix_1,False
P040,Group_2,Song_4,Enjoyment,73.6,Mix_2,False
P040,Group_2,Song_4,Focus,80.4,Mix_2,False
P040,Group_2,Song_4,Motivation,73.1,Mix_1,False
P040,Group_2,Song_4,Relaxation,72.7,Mix_1,False
