source,method_key,model_key,model_label,condition,prediction_example_id,participant_id,candidate_label,actual_rating,predicted_rating,absolute_error,squared_error
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P001__heldout__P001__trial_06,P001,E,67.0,55.0,12.0,144.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_01,P002,A,27.0,55.0,28.0,784.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_01,P002,B,75.0,62.0,13.0,169.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_01,P002,C,58.0,50.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_01,P002,D,53.0,66.0,13.0,169.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_01,P002,E,38.0,78.0,40.0,1600.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_02,P002,A,61.0,58.0,3.0,9.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_02,P002,B,82.0,32.0,50.0,2500.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_02,P002,C,50.0,45.0,5.0,25.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_02,P002,D,8.0,78.0,70.0,4900.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_02,P002,E,25.0,62.0,37.0,1369.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_03,P002,A,76.0,58.0,18.0,324.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_03,P002,B,41.0,74.0,33.0,1089.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_03,P002,C,63.0,55.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_03,P002,D,12.0,48.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_03,P002,E,36.0,44.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_04,P002,A,59.0,65.0,6.0,36.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_04,P002,B,49.0,40.0,9.0,81.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_04,P002,C,77.0,62.0,15.0,225.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_04,P002,D,15.0,74.0,59.0,3481.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_04,P002,E,7.0,58.0,51.0,2601.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_05,P002,A,31.0,60.0,29.0,841.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_05,P002,B,50.0,45.0,5.0,25.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_05,P002,C,76.0,38.0,38.0,1444.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_05,P002,D,12.0,55.0,43.0,1849.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_05,P002,E,6.0,68.0,62.0,3844.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_06,P002,A,10.0,58.0,48.0,2304.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_06,P002,B,26.0,55.0,29.0,841.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_06,P002,C,74.0,47.0,27.0,729.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_06,P002,D,51.0,74.0,23.0,529.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P002__heldout__P002__trial_06,P002,E,57.0,44.0,13.0,169.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_01,P003,A,15.0,58.0,43.0,1849.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_01,P003,B,68.0,55.0,13.0,169.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_01,P003,C,26.0,60.0,34.0,1156.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_01,P003,D,47.0,72.0,25.0,625.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_01,P003,E,86.0,62.0,24.0,576.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_02,P003,A,51.0,58.0,7.0,49.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_02,P003,B,33.0,60.0,27.0,729.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_02,P003,C,86.0,62.0,24.0,576.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_02,P003,D,68.0,74.0,6.0,36.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_02,P003,E,11.0,52.0,41.0,1681.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_03,P003,A,12.0,58.0,46.0,2116.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_03,P003,B,31.0,35.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_03,P003,C,25.0,78.0,53.0,2809.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_03,P003,D,86.0,50.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_03,P003,E,73.0,66.0,7.0,49.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_04,P003,A,72.0,60.0,12.0,144.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_04,P003,B,34.0,52.0,18.0,324.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_04,P003,C,76.0,78.0,2.0,4.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_04,P003,D,91.0,47.0,44.0,1936.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_04,P003,E,24.0,40.0,16.0,256.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_05,P003,A,14.0,74.0,60.0,3600.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_05,P003,B,46.0,58.0,12.0,144.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_05,P003,C,61.0,62.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_05,P003,D,87.0,55.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_05,P003,E,78.0,71.0,7.0,49.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_06,P003,A,16.0,74.0,58.0,3364.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_06,P003,B,86.0,50.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_06,P003,C,31.0,62.0,31.0,961.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_06,P003,D,41.0,58.0,17.0,289.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P003__heldout__P003__trial_06,P003,E,55.0,45.0,10.0,100.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_01,P004,A,88.0,58.0,30.0,900.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_01,P004,B,9.0,52.0,43.0,1849.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_01,P004,C,15.0,74.0,59.0,3481.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_01,P004,D,0.0,47.0,47.0,2209.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_01,P004,E,60.0,65.0,5.0,25.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_02,P004,A,49.0,74.0,25.0,625.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_02,P004,B,0.0,68.0,68.0,4624.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_02,P004,C,0.0,58.0,58.0,3364.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_02,P004,D,0.0,62.0,62.0,3844.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_02,P004,E,75.0,65.0,10.0,100.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_03,P004,A,64.0,78.0,14.0,196.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_03,P004,B,6.0,52.0,46.0,2116.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_03,P004,C,82.0,60.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_03,P004,D,47.0,63.0,16.0,256.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_03,P004,E,13.0,55.0,42.0,1764.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_04,P004,A,19.0,55.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_04,P004,B,0.0,50.0,50.0,2500.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_04,P004,C,0.0,62.0,62.0,3844.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_04,P004,D,82.0,65.0,17.0,289.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_04,P004,E,44.0,70.0,26.0,676.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_05,P004,A,59.0,58.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_05,P004,B,0.0,42.0,42.0,1764.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_05,P004,C,15.0,62.0,47.0,2209.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_05,P004,D,90.0,47.0,43.0,1849.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_05,P004,E,27.0,74.0,47.0,2209.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_06,P004,A,4.0,78.0,74.0,5476.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_06,P004,B,64.0,52.0,12.0,144.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_06,P004,C,3.0,55.0,52.0,2704.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_06,P004,D,35.0,35.0,0.0,0.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P004__heldout__P004__trial_06,P004,E,92.0,60.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_01,P005,A,83.0,58.0,25.0,625.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_01,P005,B,52.0,52.0,0.0,0.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_01,P005,C,80.0,62.0,18.0,324.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_01,P005,D,55.0,74.0,19.0,361.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_01,P005,E,62.0,56.0,6.0,36.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_02,P005,A,46.0,60.0,14.0,196.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_02,P005,B,41.0,78.0,37.0,1369.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_02,P005,C,52.0,68.0,16.0,256.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_02,P005,D,31.0,65.0,34.0,1156.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_02,P005,E,53.0,58.0,5.0,25.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_03,P005,A,32.0,68.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_03,P005,B,41.0,45.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_03,P005,C,48.0,52.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_03,P005,D,83.0,74.0,9.0,81.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_03,P005,E,78.0,50.0,28.0,784.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_04,P005,A,82.0,68.0,14.0,196.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_04,P005,B,76.0,45.0,31.0,961.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_04,P005,C,62.0,58.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_04,P005,D,35.0,74.0,39.0,1521.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_04,P005,E,85.0,42.0,43.0,1849.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_05,P005,A,56.0,60.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_05,P005,B,49.0,52.0,3.0,9.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_05,P005,C,42.0,68.0,26.0,676.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_05,P005,D,37.0,78.0,41.0,1681.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_05,P005,E,84.0,58.0,26.0,676.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_06,P005,A,36.0,58.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_06,P005,B,47.0,78.0,31.0,961.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_06,P005,C,71.0,70.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_06,P005,D,59.0,60.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P005__heldout__P005__trial_06,P005,E,83.0,55.0,28.0,784.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_01,P006,A,99.0,65.0,34.0,1156.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_01,P006,B,51.0,50.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_01,P006,C,75.0,60.0,15.0,225.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_01,P006,D,25.0,45.0,20.0,400.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_01,P006,E,40.0,72.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_02,P006,A,86.0,58.0,28.0,784.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_02,P006,B,60.0,52.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_02,P006,C,96.0,60.0,36.0,1296.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_02,P006,D,51.0,55.0,4.0,16.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_02,P006,E,75.0,74.0,1.0,1.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_03,P006,A,39.0,52.0,13.0,169.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_03,P006,B,100.0,78.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_03,P006,C,88.0,48.0,40.0,1600.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_03,P006,D,32.0,65.0,33.0,1089.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_03,P006,E,76.0,58.0,18.0,324.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_04,P006,A,93.0,58.0,35.0,1225.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_04,P006,B,48.0,55.0,7.0,49.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_04,P006,C,38.0,47.0,9.0,81.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_04,P006,D,80.0,72.0,8.0,64.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_04,P006,E,62.0,40.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_05,P006,A,26.0,58.0,32.0,1024.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_05,P006,B,19.0,45.0,26.0,676.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_05,P006,C,86.0,68.0,18.0,324.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_05,P006,D,33.0,74.0,41.0,1681.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_05,P006,E,41.0,50.0,9.0,81.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_06,P006,A,33.0,55.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_06,P006,B,60.0,58.0,2.0,4.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_06,P006,C,26.0,66.0,40.0,1600.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_06,P006,D,16.0,60.0,44.0,1936.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P006__heldout__P006__trial_06,P006,E,54.0,74.0,20.0,400.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_01,P007,A,77.0,58.0,19.0,361.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_01,P007,B,0.0,55.0,55.0,3025.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_01,P007,C,100.0,78.0,22.0,484.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_01,P007,D,48.0,62.0,14.0,196.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_01,P007,E,10.0,68.0,58.0,3364.0
llm,claude_sonnet__non_history,claude_sonnet,Claude Sonnet 5,non_history,P007__heldout__P007__trial_02,P007,A,100.0,65.0,35.0,1225.0
