prediction_example_id,participant_id,trial_id,target_candidate_count,training_row_count,target_rows_in_training,participant_history_rows_retained,same_stimulus_other_participant_rows_retained,leakage_passed
real_loto__P015__trial_04,P015,P015__trial_04,5,985,0,25,250,True
real_loto__P015__trial_05,P015,P015__trial_05,5,985,0,25,250,True
real_loto__P015__trial_06,P015,P015__trial_06,5,985,0,25,250,True
real_loto__P016__trial_01,P016,P016__trial_01,5,985,0,25,250,True
real_loto__P016__trial_02,P016,P016__trial_02,5,985,0,25,250,True
real_loto__P016__trial_03,P016,P016__trial_03,5,985,0,25,250,True
real_loto__P016__trial_04,P016,P016__trial_04,5,985,0,25,250,True
real_loto__P016__trial_05,P016,P016__trial_05,5,985,0,25,250,True
real_loto__P016__trial_06,P016,P016__trial_06,5,985,0,25,250,True
real_loto__P017__trial_01,P017,P017__trial_01,5,985,0,25,235,True
real_loto__P017__trial_02,P017,P017__trial_02,5,985,0,25,235,True
real_loto__P017__trial_03,P017,P017__trial_03,5,985,0,25,235,True
real_loto__P017__trial_04,P017,P017__trial_04,5,985,0,25,235,True
real_loto__P017__trial_05,P017,P017__trial_05,5,985,0,25,235,True
real_loto__P017__trial_06,P017,P017__trial_06,5,985,0,25,235,True
real_loto__P018__trial_01,P018,P018__trial_01,5,985,0,25,235,True
real_loto__P018__trial_02,P018,P018__trial_02,5,985,0,25,235,True
real_loto__P018__trial_03,P018,P018__trial_03,5,985,0,25,235,True
real_loto__P018__trial_04,P018,P018__trial_04,5,985,0,25,235,True
real_loto__P018__trial_05,P018,P018__trial_05,5,985,0,25,235,True
real_loto__P018__trial_06,P018,P018__trial_06,5,985,0,25,235,True
real_loto__P019__trial_01,P019,P019__trial_01,5,985,0,25,235,True
real_loto__P019__trial_02,P019,P019__trial_02,5,985,0,25,235,True
real_loto__P019__trial_03,P019,P019__trial_03,5,985,0,25,235,True
real_loto__P019__trial_04,P019,P019__trial_04,5,985,0,25,235,True
real_loto__P019__trial_05,P019,P019__trial_05,5,985,0,25,235,True
real_loto__P019__trial_06,P019,P019__trial_06,5,985,0,25,235,True
real_loto__P020__trial_01,P020,P020__trial_01,5,985,0,25,235,True
real_loto__P020__trial_02,P020,P020__trial_02,5,985,0,25,235,True
real_loto__P020__trial_03,P020,P020__trial_03,5,985,0,25,235,True
real_loto__P020__trial_04,P020,P020__trial_04,5,985,0,25,235,True
real_loto__P020__trial_05,P020,P020__trial_05,5,985,0,25,235,True
real_loto__P020__trial_06,P020,P020__trial_06,5,985,0,25,235,True
real_loto__P021__trial_01,P021,P021__trial_01,5,985,0,25,250,True
real_loto__P021__trial_02,P021,P021__trial_02,5,985,0,25,250,True
real_loto__P021__trial_03,P021,P021__trial_03,5,985,0,25,250,True
real_loto__P021__trial_04,P021,P021__trial_04,5,985,0,25,250,True
real_loto__P021__trial_05,P021,P021__trial_05,5,985,0,25,250,True
real_loto__P021__trial_06,P021,P021__trial_06,5,985,0,25,250,True
real_loto__P022__trial_01,P022,P022__trial_01,5,985,0,25,250,True
real_loto__P022__trial_02,P022,P022__trial_02,5,985,0,25,250,True
real_loto__P022__trial_03,P022,P022__trial_03,5,985,0,25,250,True
real_loto__P022__trial_04,P022,P022__trial_04,5,985,0,25,250,True
real_loto__P022__trial_05,P022,P022__trial_05,5,985,0,25,250,True
real_loto__P022__trial_06,P022,P022__trial_06,5,985,0,25,250,True
real_loto__P023__trial_01,P023,P023__trial_01,5,985,0,25,235,True
real_loto__P023__trial_02,P023,P023__trial_02,5,985,0,25,235,True
real_loto__P023__trial_03,P023,P023__trial_03,5,985,0,25,235,True
real_loto__P023__trial_04,P023,P023__trial_04,5,985,0,25,235,True
real_loto__P023__trial_05,P023,P023__trial_05,5,985,0,25,235,True
real_loto__P023__trial_06,P023,P023__trial_06,5,985,0,25,235,True
real_loto__P024__trial_01,P024,P024__trial_01,5,985,0,25,250,True
real_loto__P024__trial_02,P024,P024__trial_02,5,985,0,25,250,True
real_loto__P024__trial_03,P024,P024__trial_03,5,985,0,25,250,True
real_loto__P024__trial_04,P024,P024__trial_04,5,985,0,25,250,True
real_loto__P024__trial_05,P024,P024__trial_05,5,985,0,25,250,True
real_loto__P024__trial_06,P024,P024__trial_06,5,985,0,25,250,True
real_loto__P025__trial_01,P025,P025__trial_01,5,985,0,25,250,True
real_loto__P025__trial_02,P025,P025__trial_02,5,985,0,25,250,True
real_loto__P025__trial_03,P025,P025__trial_03,5,985,0,25,250,True
real_loto__P025__trial_04,P025,P025__trial_04,5,985,0,25,250,True
real_loto__P025__trial_05,P025,P025__trial_05,5,985,0,25,250,True
real_loto__P025__trial_06,P025,P025__trial_06,5,985,0,25,250,True
real_loto__P026__trial_01,P026,P026__trial_01,5,985,0,25,235,True
real_loto__P026__trial_02,P026,P026__trial_02,5,985,0,25,235,True
real_loto__P026__trial_03,P026,P026__trial_03,5,985,0,25,235,True
real_loto__P026__trial_04,P026,P026__trial_04,5,985,0,25,235,True
real_loto__P026__trial_05,P026,P026__trial_05,5,985,0,25,235,True
real_loto__P026__trial_06,P026,P026__trial_06,5,985,0,25,235,True
real_loto__P027__trial_01,P027,P027__trial_01,5,985,0,25,235,True
real_loto__P027__trial_02,P027,P027__trial_02,5,985,0,25,235,True
real_loto__P027__trial_03,P027,P027__trial_03,5,985,0,25,235,True
real_loto__P027__trial_04,P027,P027__trial_04,5,985,0,25,235,True
real_loto__P027__trial_05,P027,P027__trial_05,5,985,0,25,235,True
real_loto__P027__trial_06,P027,P027__trial_06,5,985,0,25,235,True
real_loto__P028__trial_01,P028,P028__trial_01,5,985,0,25,250,True
real_loto__P028__trial_02,P028,P028__trial_02,5,985,0,25,250,True
real_loto__P028__trial_03,P028,P028__trial_03,5,985,0,25,250,True
real_loto__P028__trial_04,P028,P028__trial_04,5,985,0,25,250,True
real_loto__P028__trial_05,P028,P028__trial_05,5,985,0,25,250,True
real_loto__P028__trial_06,P028,P028__trial_06,5,985,0,25,250,True
real_loto__P029__trial_01,P029,P029__trial_01,5,985,0,25,235,True
real_loto__P029__trial_02,P029,P029__trial_02,5,985,0,25,235,True
real_loto__P029__trial_03,P029,P029__trial_03,5,985,0,25,235,True
real_loto__P029__trial_04,P029,P029__trial_04,5,985,0,25,235,True
real_loto__P029__trial_05,P029,P029__trial_05,5,985,0,25,235,True
real_loto__P029__trial_06,P029,P029__trial_06,5,985,0,25,235,True
real_loto__P030__trial_01,P030,P030__trial_01,5,985,0,25,235,True
real_loto__P030__trial_02,P030,P030__trial_02,5,985,0,25,235,True
real_loto__P030__trial_03,P030,P030__trial_03,5,985,0,25,235,True
real_loto__P030__trial_04,P030,P030__trial_04,5,985,0,25,235,True
real_loto__P030__trial_05,P030,P030__trial_05,5,985,0,25,235,True
real_loto__P030__trial_06,P030,P030__trial_06,5,985,0,25,235,True
real_loto__P031__trial_01,P031,P031__trial_01,5,985,0,25,250,True
real_loto__P031__trial_02,P031,P031__trial_02,5,985,0,25,250,True
real_loto__P031__trial_03,P031,P031__trial_03,5,985,0,25,250,True
real_loto__P031__trial_04,P031,P031__trial_04,5,985,0,25,250,True
real_loto__P031__trial_05,P031,P031__trial_05,5,985,0,25,250,True
real_loto__P031__trial_06,P031,P031__trial_06,5,985,0,25,250,True
real_loto__P032__trial_01,P032,P032__trial_01,5,985,0,25,235,True
real_loto__P032__trial_02,P032,P032__trial_02,5,985,0,25,235,True
real_loto__P032__trial_03,P032,P032__trial_03,5,985,0,25,235,True
real_loto__P032__trial_04,P032,P032__trial_04,5,985,0,25,235,True
real_loto__P032__trial_05,P032,P032__trial_05,5,985,0,25,235,True
real_loto__P032__trial_06,P032,P032__trial_06,5,985,0,25,235,True
real_loto__P033__trial_01,P033,P033__trial_01,5,985,0,25,235,True
real_loto__P033__trial_02,P033,P033__trial_02,5,985,0,25,235,True
real_loto__P033__trial_03,P033,P033__trial_03,5,985,0,25,235,True
real_loto__P033__trial_04,P033,P033__trial_04,5,985,0,25,235,True
real_loto__P033__trial_05,P033,P033__trial_05,5,985,0,25,235,True
real_loto__P033__trial_06,P033,P033__trial_06,5,985,0,25,235,True
