participant_id,group,song_id,mix_id,stimulus_id,episode,presentation_order,expected_rating,rating,comment
P003,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,1,74.594,78.5,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P003,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,2,76.824,73.4,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P003,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,3,76.003,74.8,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P003,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,1,69.824,67.7,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P003,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,2,75.594,73.2,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P003,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,3,75.003,77.1,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P003,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,1,79.824,84.1,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P003,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,2,70.594,79.7,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P003,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,3,72.003,73.4,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P003,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,1,76.314,76.8,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P003,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,2,69.544,69.5,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P003,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,3,72.722,66.2,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P003,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,1,72.314,71.4,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P003,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,2,68.544,87.4,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P003,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,3,71.722,85.9,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P003,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,1,76.722,69.9,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P003,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,2,75.314,65.3,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P003,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,3,77.544,88.3,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P003,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,1,70.544,74.9,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P003,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,2,75.722,60.0,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P003,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,3,76.314,84.7,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P003,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,1,80.544,76.3,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P003,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,2,72.722,75.1,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P003,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,3,71.314,71.8,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P004,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,1,73.899,73.0,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P004,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,2,70.154,67.9,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P004,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,3,73.786,75.2,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P004,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,69.899,46.8,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P004,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,2,72.786,70.7,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
P004,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,3,69.154,70.7,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P004,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,1,78.154,74.8,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P004,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,2,77.786,62.0,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P004,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,3,72.899,75.9,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P004,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,1,76.786,63.0,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P004,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,2,73.899,81.7,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P004,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,3,71.154,68.2,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P004,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,1,73.786,64.3,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P004,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,2,81.154,78.1,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P004,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,3,68.899,80.6,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P004,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,1,74.505,90.1,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P004,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,2,70.874,81.5,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P004,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,3,74.619,78.6,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P004,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,1,70.619,74.6,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P004,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,2,73.505,81.0,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P004,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,3,69.874,67.2,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P004,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,1,78.505,72.2,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P004,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,2,73.619,82.5,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P004,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,3,78.874,68.3,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P004,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,1,77.505,75.8,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P004,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,2,71.874,82.4,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P004,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,3,74.619,81.4,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P004,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,1,69.619,76.2,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P004,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,2,74.505,60.4,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P004,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,3,81.874,81.3,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P005,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,1,48.218,43.6,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P005,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,44.668,58.3,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P005,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,3,42.615,48.4,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P005,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,40.668,31.5,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P005,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,2,47.218,47.5,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
P005,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,3,41.615,30.7,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P005,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,1,43.668,46.5,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P005,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,2,52.218,62.6,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P005,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,3,50.615,56.1,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P005,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,1,43.615,44.3,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P005,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,2,51.218,54.9,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P005,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,3,44.668,59.2,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P005,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,1,39.668,45.0,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P005,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,2,48.218,34.0,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P005,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,3,53.615,66.9,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P005,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,1,43.335,51.0,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P005,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,2,45.387,40.2,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P005,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,3,48.937,56.3,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P005,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,1,41.387,43.5,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P005,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,2,47.937,50.0,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P005,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,3,42.335,44.8,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P005,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,1,51.335,50.0,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P005,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,2,52.937,51.6,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P005,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,3,44.387,47.8,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P005,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,1,44.335,34.8,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P005,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,2,45.387,44.3,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P005,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,3,51.937,65.3,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P005,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,1,54.335,46.9,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P005,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,2,48.937,50.8,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P005,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,3,40.387,48.0,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P006,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,1,53.587,65.5,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P006,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,53.132,60.8,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P006,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,3,55.667,63.2,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
P006,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,49.132,70.1,Synthetic mandatory comment for Song_1_Mix_1 during Distraction.
P006,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,2,52.587,50.7,Synthetic mandatory comment for Song_1_Mix_2 during Distraction.
P006,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,3,54.667,36.6,Synthetic mandatory comment for Song_1_Mix_3 during Distraction.
P006,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,1,52.132,48.0,Synthetic mandatory comment for Song_1_Mix_1 during Enjoyment.
P006,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,2,57.587,58.6,Synthetic mandatory comment for Song_1_Mix_2 during Enjoyment.
P006,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,3,63.667,75.5,Synthetic mandatory comment for Song_1_Mix_3 during Enjoyment.
P006,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,1,56.587,45.3,Synthetic mandatory comment for Song_1_Mix_2 during Focus.
P006,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,2,53.132,38.7,Synthetic mandatory comment for Song_1_Mix_1 during Focus.
P006,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,3,56.667,49.5,Synthetic mandatory comment for Song_1_Mix_3 during Focus.
P006,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,1,53.587,56.1,Synthetic mandatory comment for Song_1_Mix_2 during Motivation.
P006,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,2,66.667,54.0,Synthetic mandatory comment for Song_1_Mix_3 during Motivation.
P006,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,3,48.132,27.3,Synthetic mandatory comment for Song_1_Mix_1 during Motivation.
P006,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,1,54.306,50.1,Synthetic mandatory comment for Song_2_Mix_2 during Relaxation.
P006,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,2,56.387,60.5,Synthetic mandatory comment for Song_2_Mix_3 during Relaxation.
P006,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,3,53.851,60.2,Synthetic mandatory comment for Song_2_Mix_1 during Relaxation.
P006,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,1,49.851,51.1,Synthetic mandatory comment for Song_2_Mix_1 during Distraction.
P006,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,2,53.306,60.1,Synthetic mandatory comment for Song_2_Mix_2 during Distraction.
P006,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,3,55.387,57.4,Synthetic mandatory comment for Song_2_Mix_3 during Distraction.
P006,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,1,64.387,58.0,Synthetic mandatory comment for Song_2_Mix_3 during Enjoyment.
P006,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,2,58.306,56.7,Synthetic mandatory comment for Song_2_Mix_2 during Enjoyment.
P006,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,3,52.851,54.6,Synthetic mandatory comment for Song_2_Mix_1 during Enjoyment.
P006,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,1,57.387,53.8,Synthetic mandatory comment for Song_2_Mix_3 during Focus.
P006,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,2,57.306,62.0,Synthetic mandatory comment for Song_2_Mix_2 during Focus.
P006,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,3,53.851,51.5,Synthetic mandatory comment for Song_2_Mix_1 during Focus.
P006,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,1,54.306,61.8,Synthetic mandatory comment for Song_2_Mix_2 during Motivation.
P006,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,2,67.387,49.4,Synthetic mandatory comment for Song_2_Mix_3 during Motivation.
P006,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,3,48.851,37.2,Synthetic mandatory comment for Song_2_Mix_1 during Motivation.
P007,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,1,70.0,49.0,Synthetic mandatory comment for Song_1_Mix_2 during Relaxation.
P007,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,63.664,57.6,Synthetic mandatory comment for Song_1_Mix_1 during Relaxation.
P007,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,3,54.396,61.1,Synthetic mandatory comment for Song_1_Mix_3 during Relaxation.
