song,triplet_id,condition,mean_rating,minimum_rating,maximum_rating,rating_spread,rating_bins,rating_counts
Lead Me,LeadMe_WideRatings_00185,Wide Ratings,0.408033666667,0.331807,0.547365,0.215558455603,low|low|high,39|36|45
Lead Me,LeadMe_WideRatings_00282,Wide Ratings,0.465916333333,0.344929,0.543047,0.198118173899,low|medium|high,39|39|10
Lead Me,LeadMe_WideRatings_00213,Wide Ratings,0.392163,0.288513,0.543047,0.254533302315,low|low|high,39|39|10
Lead Me,LeadMe_WideRatings_00284,Wide Ratings,0.401716666667,0.344929,0.509773,0.164844877815,low|medium|low,39|39|6
Lead Me,LeadMe_WideRatings_00348,Wide Ratings,0.381731333333,0.288513,0.524874,0.236360487176,low|low|high,36|39|14
Pouring Room,PouringRoom_SimilarRatings_00019,Similar Ratings,0.344643666667,0.315779,0.391331,0.075551855144,medium|low|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00038,Similar Ratings,0.505608333333,0.315779,0.741587,0.425808297579,high|medium|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00020,Similar Ratings,0.405809666667,0.315779,0.510319,0.194540044024,medium|low|high,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00039,Similar Ratings,0.509289,0.326821,0.741587,0.414765609834,high|medium|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00009,Similar Ratings,0.482899,0.315779,0.741587,0.425808297579,medium|high|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00050,Similar Ratings,0.367353,0.315779,0.459459,0.14367977819,medium|low|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00021,Similar Ratings,0.409490333333,0.326821,0.510319,0.183497356279,medium|low|high,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00010,Similar Ratings,0.486579666667,0.326821,0.741587,0.414765609834,medium|high|low,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00051,Similar Ratings,0.428519,0.315779,0.510319,0.194540044024,medium|low|high,40|40|40
Pouring Room,PouringRoom_SimilarRatings_00053,Similar Ratings,0.335612666667,0.315779,0.364238,0.048459126921,low|low|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00038,Wide Ratings,0.505608333333,0.315779,0.741587,0.425808297579,high|medium|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00039,Wide Ratings,0.509289,0.326821,0.741587,0.414765609834,high|medium|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00009,Wide Ratings,0.482899,0.315779,0.741587,0.425808297579,medium|high|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00010,Wide Ratings,0.486579666667,0.326821,0.741587,0.414765609834,medium|high|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00020,Wide Ratings,0.405809666667,0.315779,0.510319,0.194540044024,medium|low|high,40|40|40
Pouring Room,PouringRoom_WideRatings_00044,Wide Ratings,0.461395666667,0.315779,0.741587,0.425808297579,high|low|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00025,Wide Ratings,0.559078666667,0.326821,0.741587,0.414765609834,high|high|low,40|40|40
Pouring Room,PouringRoom_WideRatings_00021,Wide Ratings,0.409490333333,0.326821,0.510319,0.183497356279,medium|low|high,40|40|40
Pouring Room,PouringRoom_WideRatings_00051,Wide Ratings,0.428519,0.315779,0.510319,0.194540044024,medium|low|high,40|40|40
Pouring Room,PouringRoom_WideRatings_00052,Wide Ratings,0.432199666667,0.326821,0.510319,0.183497356279,medium|low|high,40|40|40
Red To Blue,RedToBlue_SimilarRatings_00059,Similar Ratings,0.453637333333,0.320185,0.527445,0.207260722208,medium|medium|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00066,Similar Ratings,0.36112,0.320185,0.401689,0.081504038215,low|low|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00075,Similar Ratings,0.411718666667,0.320185,0.513282,0.193097250492,low|medium|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00035,Similar Ratings,0.402654666667,0.361486,0.444789,0.083302311077,medium|low|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00040,Similar Ratings,0.453253333333,0.401689,0.513282,0.111593212277,medium|low|medium,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00031,Similar Ratings,0.495172,0.444789,0.527445,0.082656620199,medium|medium|medium,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00069,Similar Ratings,0.398317666667,0.320185,0.513282,0.193097250492,low|medium|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00052,Similar Ratings,0.403038666667,0.320185,0.527445,0.207260722208,medium|low|low,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00065,Similar Ratings,0.425485666667,0.361486,0.513282,0.15179545956,low|low|medium,26|26|26
Red To Blue,RedToBlue_SimilarRatings_00029,Similar Ratings,0.444573333333,0.361486,0.527445,0.165958931276,medium|medium|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00059,Wide Ratings,0.453637333333,0.320185,0.527445,0.207260722208,medium|medium|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00023,Wide Ratings,0.474439666667,0.320185,0.589852,0.269667453641,high|medium|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00075,Wide Ratings,0.411718666667,0.320185,0.513282,0.193097250492,low|medium|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00082,Wide Ratings,0.516806,0.320185,0.716951,0.396766274669,medium|low|high,26|26|26
Red To Blue,RedToBlue_WideRatings_00016,Wide Ratings,0.423841,0.320185,0.589852,0.269667453641,high|low|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00069,Wide Ratings,0.398317666667,0.320185,0.513282,0.193097250492,low|medium|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00052,Wide Ratings,0.403038666667,0.320185,0.527445,0.207260722208,medium|low|low,26|26|26
Red To Blue,RedToBlue_WideRatings_00015,Wide Ratings,0.488206666667,0.361486,0.589852,0.228365662709,high|low|medium,26|26|26
Red To Blue,RedToBlue_WideRatings_00073,Wide Ratings,0.466207333333,0.320185,0.716951,0.396766274669,low|low|high,26|26|26
Red To Blue,RedToBlue_WideRatings_00029,Wide Ratings,0.444573333333,0.361486,0.527445,0.165958931276,medium|medium|low,26|26|26
