song,bark_channel,bark_band,column,count,mean,standard_deviation
Filthybird - I'd Like To Know,mid,22,bark_mid_22,7,7.93747826985,0.31083712215
Filthybird - I'd Like To Know,mid,23,bark_mid_23,7,7.82420444488,0.341870836817
Filthybird - I'd Like To Know,mid,24,bark_mid_24,7,7.08028806959,0.425076583179
Filthybird - I'd Like To Know,side,1,bark_side_01,7,5.92708294732,0.269851643949
Filthybird - I'd Like To Know,side,2,bark_side_02,7,6.1929533141,0.200054027835
Filthybird - I'd Like To Know,side,3,bark_side_03,7,6.17744377681,0.269762524201
Filthybird - I'd Like To Know,side,4,bark_side_04,7,6.23819855281,0.324416567359
Filthybird - I'd Like To Know,side,5,bark_side_05,7,6.29086576189,0.229971144609
Filthybird - I'd Like To Know,side,6,bark_side_06,7,6.39189549855,0.228723172593
Filthybird - I'd Like To Know,side,7,bark_side_07,7,6.41755948748,0.172890006782
Filthybird - I'd Like To Know,side,8,bark_side_08,7,6.40558889934,0.188605970155
Filthybird - I'd Like To Know,side,9,bark_side_09,7,6.46728168215,0.165497556915
Filthybird - I'd Like To Know,side,10,bark_side_10,7,6.45057971137,0.179993540265
Filthybird - I'd Like To Know,side,11,bark_side_11,7,6.44409315927,0.262150273092
Filthybird - I'd Like To Know,side,12,bark_side_12,7,6.58699812208,0.255183488056
Filthybird - I'd Like To Know,side,13,bark_side_13,7,6.67502457755,0.199524763483
Filthybird - I'd Like To Know,side,14,bark_side_14,7,6.64123644148,0.2288686113
Filthybird - I'd Like To Know,side,15,bark_side_15,7,6.60564701898,0.244606422449
Filthybird - I'd Like To Know,side,16,bark_side_16,7,6.58291053772,0.187617298871
Filthybird - I'd Like To Know,side,17,bark_side_17,7,6.63127333777,0.289309762111
Filthybird - I'd Like To Know,side,18,bark_side_18,7,6.54112597874,0.195537754318
Filthybird - I'd Like To Know,side,19,bark_side_19,7,6.50608389718,0.204221542619
Filthybird - I'd Like To Know,side,20,bark_side_20,7,6.68491608756,0.2761063243
Filthybird - I'd Like To Know,side,21,bark_side_21,7,6.95171090535,0.286841770528
Filthybird - I'd Like To Know,side,22,bark_side_22,7,7.2429596356,0.306075311565
Filthybird - I'd Like To Know,side,23,bark_side_23,7,7.43720476968,0.339794268684
Filthybird - I'd Like To Know,side,24,bark_side_24,7,6.93326691219,0.437144978844
The Districts - Vermont,mid,1,bark_mid_01,7,8.18671206066,0.192393284844
The Districts - Vermont,mid,2,bark_mid_02,7,7.70737818309,0.186467951715
The Districts - Vermont,mid,3,bark_mid_03,7,7.54437112808,0.213637051801
The Districts - Vermont,mid,4,bark_mid_04,7,7.2952667645,0.206511972418
The Districts - Vermont,mid,5,bark_mid_05,7,7.42703240258,0.160825382276
The Districts - Vermont,mid,6,bark_mid_06,7,7.80448838643,0.164729183055
The Districts - Vermont,mid,7,bark_mid_07,7,7.4281971114,0.129356634913
The Districts - Vermont,mid,8,bark_mid_08,7,7.62241213662,0.20655526972
The Districts - Vermont,mid,9,bark_mid_09,7,7.51337902887,0.122377693029
The Districts - Vermont,mid,10,bark_mid_10,7,7.84423685074,0.130180819807
The Districts - Vermont,mid,11,bark_mid_11,7,7.86497981208,0.123936850617
The Districts - Vermont,mid,12,bark_mid_12,7,7.9096552985,0.0984763505131
The Districts - Vermont,mid,13,bark_mid_13,7,7.92985657283,0.0999027472456
The Districts - Vermont,mid,14,bark_mid_14,7,8.21735436576,0.111793360417
The Districts - Vermont,mid,15,bark_mid_15,7,8.04450832095,0.146315346903
The Districts - Vermont,mid,16,bark_mid_16,7,7.64963252204,0.0911068534862
The Districts - Vermont,mid,17,bark_mid_17,7,7.63105467388,0.213309850228
The Districts - Vermont,mid,18,bark_mid_18,7,7.53720733098,0.230276233072
The Districts - Vermont,mid,19,bark_mid_19,7,7.60538721084,0.222709785511
The Districts - Vermont,mid,20,bark_mid_20,7,7.76704025269,0.232077663657
The Districts - Vermont,mid,21,bark_mid_21,7,7.83208567756,0.263346779022
The Districts - Vermont,mid,22,bark_mid_22,7,7.98065423965,0.253146168327
The Districts - Vermont,mid,23,bark_mid_23,7,7.99924271447,0.236373585668
The Districts - Vermont,mid,24,bark_mid_24,7,7.11202560153,0.347192348665
The Districts - Vermont,side,1,bark_side_01,7,5.69977746691,0.508718372138
The Districts - Vermont,side,2,bark_side_02,7,6.07909693037,0.299439513342
The Districts - Vermont,side,3,bark_side_03,7,6.15220090321,0.242661670926
The Districts - Vermont,side,4,bark_side_04,7,6.11310584204,0.122825682654
The Districts - Vermont,side,5,bark_side_05,7,6.21461738859,0.0989178801558
The Districts - Vermont,side,6,bark_side_06,7,6.51878377369,0.139036911288
The Districts - Vermont,side,7,bark_side_07,7,6.31107003348,0.17063168588
The Districts - Vermont,side,8,bark_side_08,7,6.33744505474,0.218400493609
The Districts - Vermont,side,9,bark_side_09,7,6.28169584274,0.215626223907
The Districts - Vermont,side,10,bark_side_10,7,6.63258034842,0.135538688464
The Districts - Vermont,side,11,bark_side_11,7,6.66759756633,0.137814680874
The Districts - Vermont,side,12,bark_side_12,7,6.60703093665,0.184655379344
The Districts - Vermont,side,13,bark_side_13,7,6.54168844223,0.235323982825
The Districts - Vermont,side,14,bark_side_14,7,6.90828718458,0.189235029106
The Districts - Vermont,side,15,bark_side_15,7,6.69765016011,0.26108860312
The Districts - Vermont,side,16,bark_side_16,7,6.53605059215,0.366988633923
The Districts - Vermont,side,17,bark_side_17,7,6.41407203674,0.413572726675
The Districts - Vermont,side,18,bark_side_18,7,6.4619449888,0.457629301957
The Districts - Vermont,side,19,bark_side_19,7,6.52173076357,0.458712483851
The Districts - Vermont,side,20,bark_side_20,7,6.67249992916,0.430007756198
The Districts - Vermont,side,21,bark_side_21,7,6.82532528469,0.44626723294
The Districts - Vermont,side,22,bark_side_22,7,7.01329381126,0.433922227108
The Districts - Vermont,side,23,bark_side_23,7,7.18965448652,0.421393978716
The Districts - Vermont,side,24,bark_side_24,7,6.63366263253,0.462454695614
Torres - New Skin,mid,1,bark_mid_01,7,8.40372630528,0.172696350043
Torres - New Skin,mid,2,bark_mid_02,7,7.99194015776,0.141548819171
Torres - New Skin,mid,3,bark_mid_03,7,7.53708900724,0.0973063051205
Torres - New Skin,mid,4,bark_mid_04,7,7.49471364702,0.129200341495
Torres - New Skin,mid,5,bark_mid_05,7,7.36026688984,0.167528006716
Torres - New Skin,mid,6,bark_mid_06,7,7.37795489175,0.149754561377
Torres - New Skin,mid,7,bark_mid_07,7,7.45561790466,0.272118866454
Torres - New Skin,mid,8,bark_mid_08,7,7.19735452107,0.321198077891
Torres - New Skin,mid,9,bark_mid_09,7,7.052184718,0.260017530875
Torres - New Skin,mid,10,bark_mid_10,7,7.45056772232,0.181531931949
Torres - New Skin,mid,11,bark_mid_11,7,7.39841018404,0.207627492909
Torres - New Skin,mid,12,bark_mid_12,7,7.57832533973,0.176854825068
Torres - New Skin,mid,13,bark_mid_13,7,7.64778280258,0.154023740748
Torres - New Skin,mid,14,bark_mid_14,7,7.52013778687,0.155443253159
Torres - New Skin,mid,15,bark_mid_15,7,7.68334974562,0.186581630797
Torres - New Skin,mid,16,bark_mid_16,7,7.56833485194,0.179710862569
Torres - New Skin,mid,17,bark_mid_17,7,7.45997122356,0.215462759823
Torres - New Skin,mid,18,bark_mid_18,7,7.49135528292,0.245285601213
Torres - New Skin,mid,19,bark_mid_19,7,7.37645326342,0.370714987522
Torres - New Skin,mid,20,bark_mid_20,7,7.26752192633,0.371265546483
Torres - New Skin,mid,21,bark_mid_21,7,7.34517233712,0.389819425423
Torres - New Skin,mid,22,bark_mid_22,7,7.35177264895,0.415607090885
Torres - New Skin,mid,23,bark_mid_23,7,7.46635491507,0.522968748314
Torres - New Skin,mid,24,bark_mid_24,7,6.90318155289,0.692122618468
Torres - New Skin,side,1,bark_side_01,7,6.32741274153,0.319863385761
Torres - New Skin,side,2,bark_side_02,7,6.82314266477,0.264149495471
Torres - New Skin,side,3,bark_side_03,7,6.91842065538,0.244764895268
Torres - New Skin,side,4,bark_side_04,7,6.74770232609,0.271607067207
Torres - New Skin,side,5,bark_side_05,7,6.58525848389,0.304818044775
Torres - New Skin,side,6,bark_side_06,7,6.63857930047,0.288202218459
Torres - New Skin,side,7,bark_side_07,7,6.80111149379,0.340204120636
Torres - New Skin,side,8,bark_side_08,7,6.50970676967,0.359477352741
Torres - New Skin,side,9,bark_side_09,7,6.38776649748,0.296055077689
Torres - New Skin,side,10,bark_side_10,7,6.66991070339,0.322995721548
Torres - New Skin,side,11,bark_side_11,7,6.69531570162,0.31125642747
Torres - New Skin,side,12,bark_side_12,7,6.69303757804,0.369974751836
Torres - New Skin,side,13,bark_side_13,7,6.81712770462,0.304145166689
Torres - New Skin,side,14,bark_side_14,7,6.79393073491,0.238484150576
Torres - New Skin,side,15,bark_side_15,7,6.78853116717,0.330944677333
Torres - New Skin,side,16,bark_side_16,7,6.70075804846,0.168973271908
Torres - New Skin,side,17,bark_side_17,7,6.59214646476,0.143960490673
Torres - New Skin,side,18,bark_side_18,7,6.41551072257,0.186157691282
Torres - New Skin,side,19,bark_side_19,7,6.33031538555,0.269778299325
Torres - New Skin,side,20,bark_side_20,7,6.3715606417,0.343415094223
Torres - New Skin,side,21,bark_side_21,7,6.52182837895,0.359249290656
Torres - New Skin,side,22,bark_side_22,7,6.72220025744,0.412413042449
Torres - New Skin,side,23,bark_side_23,7,7.10113709313,0.482745307144
Torres - New Skin,side,24,bark_side_24,7,6.69837822233,0.616449677623
